Date,QQQ,AAPL-Close,MSFT-Close,AMZN-Close,GOOG-Close,FB-Close
2020-01-06T06:00:00.000Z,218.43,77.58,161.34,1883.16 ,1429.73 ,218.06
2020-01-13T06:00:00.000Z,223.38,79.68,167.1,1864.72 ,1480.39 ,222.14
2020-01-20T06:00:00.000Z,222.7,79.58,165.04,1861.64 ,1466.71 ,217.94
2020-01-27T06:00:00.000Z,219.07,77.38,170.23,2008.72 ,1434.23 ,201.91
2020-02-03T06:00:00.000Z,229.2,80.01,183.89,2079.28 ,1479.23 ,212.33
2020-02-10T06:00:00.000Z,234.64,81.24,185.35,2134.87 ,1520.74 ,214.18
2020-02-17T06:00:00.000Z,230.27,78.26,178.59,2095.97 ,1485.11 ,210.18
2020-02-24T06:00:00.000Z,205.8,68.34,162.01,1883.75 ,1339.33 ,192.47
2020-03-02T06:00:00.000Z,208.02,72.26,161.57,1901.09 ,1298.41 ,181.09
2020-03-09T05:00:00.000Z,192.34,69.49,158.83,1785.00 ,1219.73 ,170.28
2020-03-16T05:00:00.000Z,170.7,57.31,137.35,1846.09 ,1072.32 ,149.73
2020-03-23T05:00:00.000Z,185.3,61.94,149.7,1900.10 ,1110.71 ,156.79
2020-03-30T05:00:00.000Z,183.37,60.35,153.83,1906.59 ,1097.88 ,154.18
2020-04-06T05:00:00.000Z,200.86,67,165.14,2042.76 ,1211.45 ,175.19
2020-04-13T05:00:00.000Z,215.29,70.7,178.6,2375.00 ,1283.25 ,179.24
2020-04-20T05:00:00.000Z,213.84,70.74,174.55,2410.22 ,1279.31 ,190.07
2020-04-27T05:00:00.000Z,212.74,72.27,174.57,2286.04 ,1320.61 ,202.27
2020-05-04T05:00:00.000Z,224.86,77.53,184.68,2379.61 ,1388.37 ,212.35
2020-05-11T05:00:00.000Z,223.27,76.93,183.16,2409.78 ,1373.19 ,210.88
2020-05-18T05:00:00.000Z,229.66,79.72,183.51,2436.88 ,1410.42 ,234.91
2020-05-25T05:00:00.000Z,233.36,79.49,183.25,2442.37 ,1428.92 ,225.09
2020-06-01T05:00:00.000Z,239.69,82.88,187.2,2483.00 ,1438.39 ,230.77
2020-06-08T05:00:00.000Z,235.88,84.7,187.74,2545.02 ,1413.18 ,228.58
2020-06-15T05:00:00.000Z,244.24,87.43,195.15,2675.01 ,1431.72 ,238.79
2020-06-22T05:00:00.000Z,240.22,88.41,196.33,2692.87 ,1359.90 ,216.08
2020-06-29T05:00:00.000Z,252.19,91.03,206.26,2890.30 ,1464.70 ,233.42
2020-07-06T05:00:00.000Z,263.97,95.92,213.67,3200.00 ,1541.74 ,245.07
2020-07-13T05:00:00.000Z,259.42,96.33,202.88,2961.97 ,1515.55 ,242.03
2020-07-20T05:00:00.000Z,255.56,92.61,201.3,3008.91 ,1511.87 ,230.71
2020-07-27T05:00:00.000Z,265.79,106.26,205.01,3164.68 ,1482.96 ,253.67
2020-08-03T05:00:00.000Z,271.47,111.11,212.48,3167.46 ,1494.49 ,268.44
2020-08-10T05:00:00.000Z,272.16,114.91,208.9,3148.02 ,1507.73 ,261.24
2020-08-17T05:00:00.000Z,281.87,124.37,213.02,3284.72 ,1580.42 ,267.01
2020-08-24T05:00:00.000Z,292.53,124.81,228.91,3401.80 ,1644.41 ,293.66
2020-08-31T05:00:00.000Z,283.58,120.96,214.25,3294.62 ,1591.04 ,282.73
2020-09-07T05:00:00.000Z,270.45,112,204.03,3116.22 ,1520.72 ,266.61
2020-09-14T05:00:00.000Z,266.87,106.84,200.39,2954.91 ,1459.99 ,252.53
2020-09-21T05:00:00.000Z,271.56,112.28,207.82,3095.13 ,1444.96 ,254.82
2020-09-28T05:00:00.000Z,274.31,113.02,206.19,3125.00 ,1458.42 ,259.94
2020-10-05T05:00:00.000Z,285.71,116.97,215.81,3286.65 ,1515.22 ,264.45
2020-10-12T05:00:00.000Z,288.51,119.02,219.66,3272.71 ,1573.01 ,265.93
2020-10-19T05:00:00.000Z,284.74,115.04,216.23,3204.40 ,1641.00 ,284.79
2020-10-26T05:00:00.000Z,269.38,108.86,202.47,3036.15 ,1621.01 ,263.11
2020-11-02T06:00:00.000Z,294.61,118.69,223.72,3311.37 ,1761.75 ,293.41
2020-11-09T06:00:00.000Z,290.93,119.26,216.51,3128.81 ,1777.02 ,276.95
2020-11-16T06:00:00.000Z,290.38,117.34,210.39,3099.40 ,1742.19 ,269.7
2020-11-23T06:00:00.000Z,299.01,116.59,215.23,3195.34 ,1793.19 ,277.81
2020-11-30T06:00:00.000Z,305.52,122.25,214.36,3162.58 ,1827.99 ,279.7
2020-12-07T06:00:00.000Z,301.85,122.41,213.26,3116.42 ,1781.77 ,273.55
2020-12-14T06:00:00.000Z,310.06,126.66,218.59,3201.65 ,1731.01 ,276.4
2020-12-21T06:00:00.000Z,309.56,131.97,222.75,3172.69 ,1738.85 ,267.4
2020-12-28T06:00:00.000Z,313.74,132.69,222.42,3256.93 ,1751.88 ,273.16
2021-01-04T06:00:00.000Z,319.03,132.05,219.62,3182.7,1807.21,267.57
2021-01-11T06:00:00.000Z,311.86,127.14,212.65,3104.25,1736.19,251.36
2021-01-18T06:00:00.000Z,325.42,139.07,225.95,3292.23,1901.05,274.5
2021-01-25T06:00:00.000Z,314.56,131.96,231.96,3206.2,1835.74,258.33
2021-02-01T06:00:00.000Z,331.36,136.76,242.2,3352.15,2098,268.1
2021-02-08T06:00:00.000Z,336.45,135.37,244.99,3277.71,2104.11,270.5
2021-02-15T06:00:00.000Z,331.02,129.87,240.97,3249.9,2101.14,261.56
2021-02-22T06:00:00.000Z,314.14,121.26,232.38,3092.93,2036.86,257.62
2021-03-01T06:00:00.000Z,308.68,121.42,231.6,3000.46,2108.54,264.28
2021-03-08T06:00:00.000Z,315.46,121.03,235.75,3089.49,2061.92,268.4
2021-03-15T05:00:00.000Z,313.14,119.99,230.35,3074.96,2043.2,290.11
2021-03-22T05:00:00.000Z,316,121.21,236.48,3052.03,2035.55,283.02
2021-03-29T05:00:00.000Z,324.57,123,242.35,3161,2137.75,298.66
2021-04-05T05:00:00.000Z,337.11,133,255.85,3372.2,2285.88,312.46
2021-04-12T05:00:00.000Z,342.01,134.16,260.74,3399.44,2297.76,306.18
2021-04-19T05:00:00.000Z,339.42,134.32,261.15,3340.88,2315.3,301.13
2021-04-26T05:00:00.000Z,337.99,131.46,252.18,3467.42,2410.12,325.08
2021-05-03T05:00:00.000Z,334.2,130.21,252.46,3291.61,2398.69,319.08
2021-05-10T05:00:00.000Z,326.39,127.45,248.15,3222.9,2316.16,315.94
2021-05-17T05:00:00.000Z,327.01,125.43,245.17,3203.08,2345.1,316.23
2021-05-24T05:00:00.000Z,333.93,124.61,249.68,3223.07,2411.56,328.73
2021-05-31T05:00:00.000Z,335.6,125.89,250.79,3206.22,2451.76,330.35
2021-06-07T05:00:00.000Z,341.24,127.35,257.89,3346.83,2513.93,331.26
